,User ID,Department,Tweet content,Subjectivity,Polarity,Sentiment,Positive,Neutral,Negative
0,4900666161,Accounting,@LSE_Accounting in great company. https://t.co/lMSPjx0XT2 #partofLSE #StudyatLSE @worlduniranking #universtyrankings,0.75,0.8,Positive,1,0,0
1,1898598396,Accounting,"@LSE_Accounting in good company here!

https://t.co/N2CuLDi67x",0.6000000000000001,0.875,Positive,1,0,0
2,1898598396,Accounting,"A great opportunity for a range of #research pursuits in the area of corporate governance. Check out the Call for Papers:

https://t.co/mb6A4cAoQ0

#managementaccounting #managementcontrol #corporategovernance @MonashBusiness @MonashUni  @LSE_Accounting @ElsevierConnect",0.375,0.4,Positive,1,0,0
3,1456252200825597963,Accounting,"Develop a financial and managerial accounting toolkit to inform business decision-making and enhance organisational performance on our 8-week online Accounting for Investment and Managerial Decision-Making course, guided by faculty from @LSE_Accounting. 👇
https://t.co/o6icEYb5jQ",0.0,0.0,Neutral,0,1,0
4,21861323,Accounting,"Join our MRes/PhD in Accounting information session for prospective students on Monday 14 March with @LSE_Accounting for:

✅ Info on the programme and making an application 
✅ A Q&amp;A with faculty and current students

Register now: https://t.co/C7FvzdT9dM https://t.co/A6mL59MlGl",0.4,0.0,Neutral,0,1,0
5,21861323,Accounting,"Join our MRes/PhD in Accounting information session for prospective students on Monday 14 March with @LSE_Accounting for:

✅ Info on the programme and making an application 
✅ A Q&amp;A with faculty and current students

Register now: https://t.co/C7FvzdT9dM https://t.co/A3bA059JBp",0.4,0.0,Neutral,0,1,0
6,1332217117844905985,Accounting,"Erasmus Accounting Workshop!

Speaker: 
- Christina Zhu, (@Wharton)  
- Cristoph Feichter (@wu_vienna)
- @sasridharan (@EmoryGoizueta)
- Aneesh Raghunandan (@LSE_Accounting)

Interested in joining? Email us: erasmus-accounting@eur.nl #accotwitter https://t.co/xoRP61Siw3",0.5,0.25,Positive,1,0,0
7,21861323,Accounting,"Join our MRes/PhD in Accounting information session for prospective students on Monday 14 March with @LSE_Accounting for:

✅ Info on the programme and making an application 
✅ A Q&amp;A with faculty and current students

Register now: https://t.co/C7FvzdT9dM https://t.co/hMkh1QXWB2",0.4,0.0,Neutral,0,1,0
8,21861323,Accounting,"Join our MRes/PhD in Accounting information session for prospective students on Monday 14 March with @LSE_Accounting for:

✅ Info on the programme and making an application 
✅ A Q&amp;A with faculty and current students

Register now: https://t.co/C7FvzdT9dM https://t.co/3VmBJy3xf4",0.4,0.0,Neutral,0,1,0
9,21861323,Accounting,"Join our MRes/PhD in Accounting information session for prospective students on Monday 14 March with @LSE_Accounting for:

✅ Info on the programme and making an application 
✅ A Q&amp;A with faculty and current students

Register now: https://t.co/C7FvzdT9dM https://t.co/o1onPDlAtz",0.4,0.0,Neutral,0,1,0
10,1332217117844905985,Accounting,"Congratulations to @JKoenraadt (@ErasmusESE) for a successful job market! 🥳

As of September 1st, he will be joining the accounting group of LSE! @LSEnews #accotwitter

@LSE_Accounting 🤝@ErasmusAccount",0.95,1.0,Positive,1,0,0
11,1169911622586052608,Accounting,@LSE_Accounting @LSenew @LSEforBusiness @BAFA_UK @AlnoorBhimani Congratulations Al!,0.0,0.0,Neutral,0,1,0
12,1343169911603011586,Accounting,"@jochenpierk @ErasmusAccount @Wharton @wu_vienna @EmoryGoizueta @LSE_Accounting Thanks, Jochen will do.",0.2,0.2,Positive,1,0,0
13,732910851842265088,Accounting,"@dyon_pacheco @ErasmusAccount @Wharton @wu_vienna @EmoryGoizueta @LSE_Accounting Yes, we have limited spots available for students! Please send an email to erasmus-accounting@eur.nl",0.27142857142857146,0.2142857142857143,Positive,1,0,0
14,3341404331,Accounting,Congratulations @AlnoorBhimani and @LSE_Accounting 👏 https://t.co/0O4ypvMWs1,0.0,0.0,Neutral,0,1,0
15,1343169911603011586,Accounting,@ErasmusAccount @jochenpierk @Wharton @wu_vienna @EmoryGoizueta @LSE_Accounting @jochenpierk is it open to ESE master students as well?,0.5,0.0,Neutral,0,1,0
16,1389244508035076100,Accounting,"@LSE_Accounting @universitelaval @UnivCatholille @essec @IAEDIJON recrute sur un poste de MCF en sciences de gestion CCA
#accounting #managementcontrol #audit #accountability
👉https://t.co/Rt8XK7mroI",0.0,0.0,Neutral,0,1,0
17,1389244508035076100,Accounting,"@LSE_Accounting @universitelaval @UnivCatholille @essec ouvre un poste de professeur senior en contrôle de gestion pour septembre 2022, à Cergy-Pontoise
#accounting #managementaccounting #managementcontrol #CSR #entrepreneurship #data 
👉https://t.co/BaYGtjoG1x",0.0,0.0,Neutral,0,1,0
18,4900666161,Accounting,"Today's INSIGHTS @LSE_Accounting welcomed Dr Suzanne Morsfield, Global Head of Accounting Solutions @Lukka to discuss financial reporting and accounting standards for the cyptoverse. #financialreporting #Cryptoverse #partoflse #studyatlse The evening was chaired by @kenmode https://t.co/vNQKB2oted",0.0,0.0,Neutral,0,1,0
19,1389244508035076100,Accounting,"@LSE_Accounting @universitelaval La Faculté de Gestion, Economie et Science @UnivCatholille a un poste d'enseignant-chercheur à pourvoir dès que possible
#accounting #managementcontrol #audit #IFRS
👉 https://t.co/TlBrRv9Cjg",1.0,0.0,Neutral,0,1,0
20,1389244508035076100,Accounting,"@LSE_Accounting L'école de comptabilité de @universitelaval recrute sur un poste de Professeur en comptabilité
#accounting  
👉 https://t.co/EheJc5OcCw",0.0,0.0,Neutral,0,1,0
21,732218222464933888,Accounting,"PhD OPPORTUNITY
The @LSE_Accounting is offering fully-funded PhD positions. 
More details on the link 👇👇👇 https://t.co/45iPvrawsX",0.5,0.5,Positive,1,0,0
22,4900666161,Accounting,"Interested in doing research on the role of information in markets, organizations &amp; society? Apply to our #PhD program @LSE_Accounting. Multiple fully funded PhD positions available. https://t.co/wtTU48EiwQ
#Accotwitter #Econtwitter #Mgmttwitter #Academictwitter #PhDposition https://t.co/m9tPrRajQZ",0.3,0.21666666666666667,Positive,1,0,0
23,1389244508035076100,Accounting,"@LSE_Accounting propose une bourse de recherche de deux ans en comptabilité, début septembre 2022
#accounting #criticalaccounting #control #audit #interpretativeapproach #sociologicalapproach
👉 https://t.co/8ucyCIeJ3e",0.0,0.0,Neutral,0,1,0
24,3341404331,Accounting,"Scenarios in innovation pitches: boon or bane? @stede_w @LSE_Accounting 
https://t.co/KIDlV9luZg",0.0,0.0,Neutral,0,1,0
25,21643972,Accounting,"TODAY! #LSEVeraart

Professor Luitgard Veraart in @LSEMaths will show how we can use mathematical models to quantify and manage risk arising from interconnections in financial markets. 
@FMG_LSE @LSE_SRC @LSEEcon @LSE_Accounting
https://t.co/ulFLkE2Knz",0.0,0.0,Neutral,0,1,0
26,21643972,Accounting,"🔜 One week to go! #LSEVeraart

Professor Luitgard Veraart in @LSEMaths will show how we can use mathematical models to quantify and manage risk arising from interconnections in financial markets. 
@FMG_LSE @LSE_SRC @LSEEcon @LSE_Accounting
https://t.co/ulFLkE2Knz",0.0,0.0,Neutral,0,1,0
27,800575249,Accounting,"In the third in our #COVID19 teaching innovation videos, @kenmode (@LSE_Accounting) shares some of his thoughts and learnings on online student interaction and use of media in online education: https://t.co/ULWpqM5ubo",0.0,0.0,Neutral,0,1,0
28,601000227,Accounting,@RCDicksonUK @ajblackburn2 @CTurnerFCDO @LSESUIndiaSoc @lsesupakdev @LSESUPakSoc @lsesubangla @qmulsaf @SOAS_SAI @LSE_ID @LSE_Accounting @HarvardBusiness @FutureofworkSDG @WomenAtWorkUK @southasia_lse,0.0,0.0,Neutral,0,1,0
29,804753576,Accounting,@PikLiew and her team @LSE_Accounting encourage students to ensure broader corporate accountability by including ESF in assessment #practiceGuideshttps://www.advance-he.ac.uk/knowledge-hub/introducing-sustainability-undergraduate-module-assessment-accounting,0.0,0.0,Neutral,0,1,0
30,3726587775,Accounting,@PikLiew and her team @LSE_Accounting encourage students to ensure broader corporate accountability by including ESF in assessment #practiceGuideshttps://www.advance-he.ac.uk/knowledge-hub/introducing-sustainability-undergraduate-module-assessment-accounting,0.0,0.0,Neutral,0,1,0
31,21861323,Accounting,"📢Upcoming Virtual Graduate Open Event with @LSE_Accounting

On Friday 12 November, learn more about what's on offer in our MSc Accounting and Finance degree and ask your questions to the faculty!

Register now 👉https://t.co/ioAl3RmH09 https://t.co/oHWB6dxLBs",0.5,0.3125,Positive,1,0,0
32,21861323,Accounting,"Register for our Virtual Graduate Open Event for prospective students interested in studying MSc Accounting, Organisations and Institutions with @LSE_Accounting! 

🗓️ Friday 12 November 2021
🕐 1:00pm to 2:00pm (GMT)

👉 https://t.co/8YohoWNJlL https://t.co/zFtAJx2ckq",0.5,0.15625,Positive,1,0,0
33,601000227,Accounting,"@umarsaif @positiveictpak1 @ictforumpak @MoitOfficial @NationalITBoard @ictsl @gictpa @InstituteIct @anirchowdhury @MalikAmmar @AlnoorBhimani @icta_srilanka @DelhiSchoolOfEC @LSE_Accounting @a2i_bd 💥LIVE-STREAMING NOW! 💥

Click on 👇 link

https://t.co/gkHXORfWW2 

@umarsaif @positiveictpak1 @ictforumpak @MoitOfficial @NationalITBoard @ictsl @gictpa @InstituteIct @anirchowdhury @MalikAmmar @AlnoorBhimani @icta_srilanka @DelhiSchoolOfEC @LSE_Accounting @a2i_bd https://t.co/pr011GkKm3",0.0,0.0,Neutral,0,1,0
34,601000227,Accounting,"@umarsaif @positiveictpak1 @ictforumpak @MoitOfficial @NationalITBoard @ictsl @gictpa @InstituteIct 💥LIVE-STREAMING IN 20 MINUTES 💥

Click on 👇 link

https://t.co/ndKQ6C2Ah7

@umarsaif @positiveictpak1 @ictforumpak @MoitOfficial @NationalITBoard @ictsl @gictpa @InstituteIct @anirchowdhury @MalikAmmar @AlnoorBhimani  @icta_srilanka @DelhiSchoolOfEC @LSE_Accounting @a2i_bd https://t.co/XCLkzLnMGF",0.0,0.0,Neutral,0,1,0
35,1332217117844905985,Accounting,"Erasmus Accounting Workshop, 18th March 2022. 

Speaker: 
- Christina Zhu, (@Wharton)  
- Cristoph Feichter (@wu_vienna )
- Suhas Sridharan (@EmoryGoizueta)
- Aneesh Raghunandan (@LSE_Accounting)

Interested in joining? Email us: erasmus-accounting@eur.nl #accotwitter",0.5,0.25,Positive,1,0,0
36,601000227,Accounting,"What is 📈 Digitalisation doing to the workplace? Is Analog ▶️ Digital smooth? 🤔❓

📆 Thurs, 28 October 
⏱ 3.30pm 🇬🇧 8pm 🇮🇳 🇱🇰 8.30pm 🇧🇩 
📝 (free Reg) https://t.co/C8qCSEK9zg

@anirchowdhury @MalikAmmar @AlnoorBhimani @icta_srilanka 
@DelhiSchoolOfEC @LSE_Accounting @a2i_bd https://t.co/KEkiCiSHfV",0.43333333333333335,0.26666666666666666,Positive,1,0,0
37,21861323,Accounting,@LSE_Accounting @LSEalumni @LSEAnthropology @LSE_PBS @LSE_LACC @LSEEcHist @lsesu @LSEnews @lsehistory @LSEManagement @LSEStatistics @LSEDataScience @LSECareers @lsecjp @LSECities @LSEEcon @LSEExecEd @lseembrace @LSEEI @LSEfinance @LSEGeography @LSEGovernment @LSEGenderTweet,0.0,0.0,Neutral,0,1,0
38,72624649,Accounting,@jochenpierk @wu_vienna @wu_accounting @LSE_Accounting So excited!,0.75,0.46875,Positive,1,0,0
39,732910851842265088,Accounting,"Save the date! 

@wu_vienna  @wu_accounting  @LSE_Accounting @sasridharan #accotwitter

👇 https://t.co/xyUHmclkiY",0.0,0.0,Neutral,0,1,0
40,1332217117844905985,Accounting,"Save the Date!

Erasmus Accounting Workshop, 18th March 2022. 

Speaker: 
- Christina Zhu, (@Wharton)  
- Cristoph Feichter (@wu_accounting)
- Suhas Sridharan (@EmoryGoizueta)
- Aneesh Raghunandan (@LSE_Accounting)

#AccoTwitter",0.0,0.0,Neutral,0,1,0
41,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEEcHist @LSEEcon @LSEEI @LSEfinance @LSEGeography @LSEGovernment @LSEGenderTweet @lsehistory @LSE_ID @LSEIRDept @LSEInequalities,0.0,0.0,Neutral,0,1,0
42,321868181,Accounting,"So great pleasure to have been able to accompany this launch and be part of the 11th conf. Really inspiring talk by prof @stede_w @LSE_Accounting @LSEnews
on New Ways of #working and #managing https://t.co/WFgBkGVnMV https://t.co/ewvkxgz7Dn",0.7073863636363636,0.4840909090909091,Positive,1,0,0
43,3341404331,Accounting,"Sticks and carrots: the effectiveness of penalties versus bonuses
Should organisations penalise employees who underperform or should they limit themselves to rewarding good performance? @stede_w @LSE_Accounting 
https://t.co/ynqtWXyunD",0.8,0.6,Positive,1,0,0
44,21861323,Accounting,"Congratulations to our undergraduate blogger and @LSE_Accounting student Taizy for graduating this year!🎉🎓

Read her touching blog reflecting on the memories and experiences from the last 3️⃣ years as #partofLSE! #lsegraduation #university👉 https://t.co/exSrckOLom https://t.co/s9vopriyrJ",0.2833333333333333,0.25,Positive,1,0,0
45,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE @lsesu,0.0,0.0,Neutral,0,1,0
46,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
47,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
48,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
49,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
50,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
51,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
52,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
53,21861323,Accounting,@LSE_Accounting @LSEAnthropology @LSEDataScience @LSEEcon @LSEEcHist @LSEEI @LSEfinance @LSEGenderTweet @LSEGeography @LSEGovernment @LSEHealthPolicy @LSE_ID @lsehistory @LSEIRDept @LSEInequalities @lselangcentre @LSELaw @LSEManagement @LSEMaths @MediaLSE @MethodologyLSE,0.0,0.0,Neutral,0,1,0
54,3341404331,Accounting,"As businesses go digital, accounting takes on a new meaning
@LSE_Accounting
https://t.co/s579bEricQ",0.22727272727272727,0.06818181818181818,Positive,1,0,0
